74c4jh4w
Logging to results/SAC_AD1/Model1
Using cpu device
Wrapping the env in a DummyVecEnv.
Starting training from scratch.
u {'ahu_oveFanSup_u': 0.38097915053367615, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.5246171355247498, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.4765295684337616, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.19587746262550354, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.9919185638427734, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.1741388440132141, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.5115565061569214, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.5274063944816589, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.21654671430587769, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.8187717795372009, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.95989990234375, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.19706642627716064, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.7645376324653625, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.8496208786964417, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.6559785604476929, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.2807084023952484, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.005151510238647461, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.10789903998374939, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.8961260318756104, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.20412495732307434, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.5225120782852173, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.36737143993377686, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.039244621992111206, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.2703855037689209, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.5693234801292419, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.46990513801574707, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.7126188278198242, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.38080352544784546, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.6261927485466003, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.9290319681167603, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.6059048175811768, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.5490533113479614, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.6726164817810059, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.19834297895431519, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.0938931405544281, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.7895308136940002, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.3981188237667084, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.7492135763168335, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.11177197098731995, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.394871324300766, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.3160995841026306, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.6591535806655884, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.11562111973762512, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.6116943359375, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.854634702205658, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.41560715436935425, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.06017938256263733, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.6076280474662781, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.8336693644523621, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.5382518172264099, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.16162359714508057, 'oveValRad_activate': 1.0}
u {'ahu_oveFanSup_u': 0.09028595685958862, 'ahu_oveFanSup_activate': 1.0, 'oveValCoi_u': 0.38577407598495483, 'oveValCoi_activate': 1.0, 'oveValRad_u': 0.17021310329437256, 'oveValRad_activate': 1.0}
